Type I_index Init_J Init_S Init_K Init_mF Init_XI F_index Final_J Final_S Final_K Final_mF Final_XI Rabi_Rate_Real Rabi_Rate_Imag
sigma+ 135 3 1 +1.0 -1.5 1 332 4 1 +1.0 -0.5 2 -3.13796735e-07 1.03888059e-23
sigma+ 158 3 1 +0.0 -0.5 2 157 3 1 +0.0 +0.5 2 -3.10328408e-07 0.00000000e+00
sigma+ 149 3 1 +0.0 -0.5 1 148 3 1 +0.0 +0.5 1 3.09874101e-07 0.00000000e+00
sigma+ 44 1 -1 +1.0 -0.5 1 108 2 -1 +1.0 +0.5 2 2.00864021e-24 3.08396628e-07
sigma+ 2 1 1 +1.0 -0.5 1 40 2 1 +1.0 +0.5 2 -3.54663862e-24 3.08396613e-07
sigma+ 125 2 -1 +0.0 +0.5 3 442 4 -1 +0.0 +1.5 4 -3.06545664e-07 0.00000000e+00
sigma+ 170 3 1 +0.0 +0.5 4 163 3 1 +0.0 +1.5 3 3.05243183e-07 0.00000000e+00
sigma+ 395 4 -1 +1.0 -0.5 1 394 4 -1 +1.0 +0.5 1 -3.05040499e-07 2.11494672e-20
sigma+ 323 4 1 +1.0 -0.5 1 322 4 1 +1.0 +0.5 1 3.05040491e-07 3.08173305e-24
sigma+ 425 4 -1 +0.0 -0.5 2 125 2 -1 +0.0 +0.5 3 3.02258526e-07 0.00000000e+00
sigma+ 17 1 1 +0.0 -0.5 3 157 3 1 +0.0 +0.5 2 -3.02031866e-07 0.00000000e+00
sigma+ 434 4 -1 +0.0 -0.5 3 433 4 -1 +0.0 +0.5 3 3.01949543e-07 0.00000000e+00
sigma+ 8 1 1 +0.0 +0.5 1 171 3 1 +0.0 +1.5 4 -3.01203136e-07 0.00000000e+00
sigma+ 124 2 -1 +0.0 +1.5 3 422 4 -1 +0.0 +2.5 2 3.00063326e-07 0.00000000e+00
sigma+ 163 3 1 +0.0 +1.5 3 155 3 1 +0.0 +2.5 2 2.98640446e-07 0.00000000e+00
sigma+ 403 4 -1 +1.0 +0.5 2 393 4 -1 +1.0 +1.5 1 -2.97276665e-07 -6.81971006e-25
sigma+ 331 4 1 +1.0 +0.5 2 321 4 1 +1.0 +1.5 1 2.97276658e-07 -3.40430248e-24
sigma+ 326 4 1 +1.0 -3.5 1 334 4 1 +1.0 -2.5 2 -3.25109591e-25 -2.94615429e-07
sigma+ 398 4 -1 +1.0 -3.5 1 406 4 -1 +1.0 -2.5 2 2.94615396e-07 -7.48236477e-25
sigma+ 426 4 -1 +0.0 -1.5 2 440 4 -1 +0.0 -0.5 4 2.94179501e-07 0.00000000e+00
sigma+ 252 4 1 +3.0 -3.5 2 262 4 1 +3.0 -2.5 4 -2.93767998e-07 0.00000000e+00
sigma+ 356 4 -1 +3.0 -3.5 2 366 4 -1 +3.0 -2.5 4 2.93767970e-07 0.00000000e+00
sigma+ 428 4 -1 +0.0 -3.5 2 438 4 -1 +0.0 -2.5 4 2.93500448e-07 0.00000000e+00
sigma+ 143 3 1 +1.0 -1.5 2 323 4 1 +1.0 -0.5 1 2.93391393e-07 5.64525338e-24
sigma+ 281 3 -1 +1.0 -1.5 2 395 4 -1 +1.0 -0.5 1 2.93389943e-07 -3.19808162e-33
sigma+ 117 2 -1 +0.0 -3.5 1 438 4 -1 +0.0 -2.5 4 2.93079303e-07 0.00000000e+00
sigma+ 354 4 -1 +3.0 -1.5 2 368 4 -1 +3.0 -0.5 4 2.92395005e-07 0.00000000e+00
sigma+ 250 4 1 +3.0 -1.5 2 264 4 1 +3.0 -0.5 4 -2.92394964e-07 0.00000000e+00
sigma+ 251 4 1 +3.0 -2.5 2 72 3 1 +3.0 -1.5 4 -2.89249368e-07 0.00000000e+00
sigma+ 355 4 -1 +3.0 -2.5 2 196 3 -1 +3.0 -1.5 4 2.89249366e-07 0.00000000e+00
sigma+ 266 4 1 +3.0 +1.5 4 255 4 1 +3.0 +2.5 3 -2.89236522e-07 0.00000000e+00
sigma+ 370 4 -1 +3.0 +1.5 4 359 4 -1 +3.0 +2.5 3 -2.89236487e-07 0.00000000e+00
sigma+ 427 4 -1 +0.0 -2.5 2 115 2 -1 +0.0 -1.5 1 2.89033774e-07 0.00000000e+00
sigma+ 165 3 1 +0.0 -0.5 3 164 3 1 +0.0 +0.5 3 -2.87805715e-07 0.00000000e+00
sigma+ 229 3 -1 +2.0 -2.5 2 378 4 -1 +2.0 -1.5 1 -2.81745905e-07 -2.05231403e-21
sigma+ 97 3 1 +2.0 -2.5 2 306 4 1 +2.0 -1.5 1 -2.81745903e-07 1.04633933e-21
sigma+ 344 4 -1 +3.0 -2.5 1 354 4 -1 +3.0 -1.5 2 -2.78691292e-07 0.00000000e+00
sigma+ 240 4 1 +3.0 -2.5 1 250 4 1 +3.0 -1.5 2 -2.78691254e-07 0.00000000e+00
sigma+ 72 3 1 +3.0 -1.5 4 62 3 1 +3.0 -0.5 2 -2.72954699e-07 0.00000000e+00
sigma+ 196 3 -1 +3.0 -1.5 4 186 3 -1 +3.0 -0.5 2 2.72954667e-07 0.00000000e+00
sigma+ 247 4 1 +3.0 +1.5 2 235 4 1 +3.0 +2.5 1 -2.72599863e-07 0.00000000e+00
sigma+ 351 4 -1 +3.0 +1.5 2 339 4 -1 +3.0 +2.5 1 -2.72599840e-07 0.00000000e+00
sigma+ 13 1 1 +0.0 +0.5 2 147 3 1 +0.0 +1.5 1 -2.71779811e-07 0.00000000e+00
sigma+ 198 3 -1 +3.0 +0.5 4 370 4 -1 +3.0 +1.5 4 2.69102624e-07 0.00000000e+00
sigma+ 74 3 1 +3.0 +0.5 4 266 4 1 +3.0 +1.5 4 -2.69102621e-07 0.00000000e+00
sigma+ 104 2 -1 +1.0 -1.5 1 107 2 -1 +1.0 -0.5 2 1.18040336e-24 2.67402550e-07
sigma+ 36 2 1 +1.0 -1.5 1 39 2 1 +1.0 -0.5 2 2.67402526e-07 1.37507266e-24
sigma+ 296 4 -1 +4.0 -0.5 2 295 4 -1 +4.0 +0.5 2 2.65480548e-07 -2.57144376e-24
sigma+ 214 4 1 +4.0 -0.5 2 213 4 1 +4.0 +0.5 2 -2.65480548e-07 0.00000000e+00
sigma+ 392 4 -1 +1.0 +2.5 1 400 4 -1 +1.0 +3.5 2 2.62234000e-07 -1.83151244e-24
sigma+ 320 4 1 +1.0 +2.5 1 328 4 1 +1.0 +3.5 2 -1.37364832e-21 -2.62233982e-07
sigma+ 150 3 1 +0.0 -1.5 1 14 1 1 +0.0 -0.5 2 2.61099314e-07 0.00000000e+00
sigma+ 171 3 1 +0.0 +1.5 4 6 1 1 +0.0 +2.5 1 2.60625020e-07 0.00000000e+00
sigma+ 166 3 1 +0.0 -1.5 3 149 3 1 +0.0 -0.5 1 -2.57002989e-07 0.00000000e+00
sigma+ 12 1 1 +0.0 +1.5 2 146 3 1 +0.0 +2.5 1 2.54686877e-07 0.00000000e+00
sigma+ 432 4 -1 +0.0 +1.5 3 422 4 -1 +0.0 +2.5 2 2.49037368e-07 0.00000000e+00
sigma+ 19 2 1 +2.0 +1.5 1 311 4 1 +2.0 +2.5 2 -6.06558620e-24 -2.49035910e-07
sigma+ 77 2 -1 +2.0 +1.5 1 383 4 -1 +2.0 +2.5 2 -3.38595566e-24 -2.49035905e-07
sigma+ 175 3 -1 +3.0 +1.5 1 190 3 -1 +3.0 +2.5 3 -2.46468787e-07 0.00000000e+00
sigma+ 51 3 1 +3.0 +1.5 1 66 3 1 +3.0 +2.5 3 2.46468776e-07 0.00000000e+00
sigma+ 416 4 -1 +0.0 -2.5 1 435 4 -1 +0.0 -1.5 3 2.45508300e-07 0.00000000e+00
sigma+ 324 4 1 +1.0 -1.5 1 332 4 1 +1.0 -0.5 2 2.45443830e-07 3.07492889e-25
sigma+ 396 4 -1 +1.0 -1.5 1 404 4 -1 +1.0 -0.5 2 -4.43205451e-20 -2.45443809e-07
sigma+ 134 3 1 +1.0 -0.5 1 5 1 1 +1.0 +0.5 2 -6.86913426e-24 -2.44721126e-07
sigma+ 272 3 -1 +1.0 -0.5 1 47 1 -1 +1.0 +0.5 2 8.35930340e-24 -2.44721123e-07
sigma+ 417 4 -1 +0.0 -3.5 1 436 4 -1 +0.0 -2.5 3 2.44134725e-07 0.00000000e+00
sigma+ 240 4 1 +3.0 -2.5 1 259 4 1 +3.0 -1.5 3 2.43006103e-07 0.00000000e+00
sigma+ 344 4 -1 +3.0 -2.5 1 363 4 -1 +3.0 -1.5 3 -2.43006089e-07 0.00000000e+00
sigma+ 345 4 -1 +3.0 -3.5 1 364 4 -1 +3.0 -2.5 3 -2.41851675e-07 0.00000000e+00
sigma+ 241 4 1 +3.0 -3.5 1 260 4 1 +3.0 -2.5 3 2.41851663e-07 0.00000000e+00
sigma+ 20 2 1 +2.0 +0.5 1 312 4 1 +2.0 +1.5 2 -1.06805587e-24 2.41814111e-07
sigma+ 78 2 -1 +2.0 +0.5 1 384 4 -1 +2.0 +1.5 2 -2.41814093e-07 -4.38242484e-25
sigma+ 207 4 1 +4.0 -2.5 1 215 4 1 +4.0 -1.5 2 2.38532366e-24 2.41411649e-07
sigma+ 289 4 -1 +4.0 -2.5 1 297 4 -1 +4.0 -1.5 2 -2.41411622e-07 4.07730202e-24
sigma+ 255 4 1 +3.0 +2.5 3 49 3 1 +3.0 +3.5 1 2.39614605e-07 0.00000000e+00
sigma+ 359 4 -1 +3.0 +2.5 3 173 3 -1 +3.0 +3.5 1 2.39614532e-07 0.00000000e+00
sigma+ 417 4 -1 +0.0 -3.5 1 427 4 -1 +0.0 -2.5 2 -2.38435855e-07 0.00000000e+00
sigma+ 442 4 -1 +0.0 +1.5 4 422 4 -1 +0.0 +2.5 2 -2.37691967e-07 0.00000000e+00
sigma+ 250 4 1 +3.0 -1.5 2 73 3 1 +3.0 -0.5 4 -2.37651091e-07 0.00000000e+00
sigma+ 354 4 -1 +3.0 -1.5 2 197 3 -1 +3.0 -0.5 4 -2.37651065e-07 0.00000000e+00
sigma+ 370 4 -1 +3.0 +1.5 4 350 4 -1 +3.0 +2.5 2 2.36513853e-07 0.00000000e+00
sigma+ 266 4 1 +3.0 +1.5 4 246 4 1 +3.0 +2.5 2 -2.36513846e-07 0.00000000e+00
sigma+ 149 3 1 +0.0 -0.5 1 13 1 1 +0.0 +0.5 2 -2.35928658e-07 0.00000000e+00
sigma+ 425 4 -1 +0.0 -0.5 2 441 4 -1 +0.0 +0.5 4 2.32848529e-07 0.00000000e+00
sigma+ 436 4 -1 +0.0 -2.5 3 439 4 -1 +0.0 -1.5 4 -2.31575197e-07 0.00000000e+00
sigma+ 249 4 1 +3.0 -0.5 2 265 4 1 +3.0 +0.5 4 -2.31012749e-07 0.00000000e+00
sigma+ 353 4 -1 +3.0 -0.5 2 369 4 -1 +3.0 +0.5 4 2.31012731e-07 0.00000000e+00
sigma+ 397 4 -1 +1.0 -2.5 1 106 2 -1 +1.0 -1.5 2 2.28799694e-07 1.23059634e-23
sigma+ 325 4 1 +1.0 -2.5 1 38 2 1 +1.0 -1.5 2 -1.19773609e-23 2.28799636e-07
sigma+ 305 4 1 +2.0 -0.5 1 304 4 1 +2.0 +0.5 1 -9.87711565e-25 2.28457389e-07
sigma+ 377 4 -1 +2.0 -0.5 1 376 4 -1 +2.0 +0.5 1 9.87711561e-25 -2.28457388e-07
sigma+ 415 4 -1 +0.0 -1.5 1 434 4 -1 +0.0 -0.5 3 2.24624572e-07 0.00000000e+00
sigma+ 343 4 -1 +3.0 -1.5 1 362 4 -1 +3.0 -0.5 3 2.22171287e-07 0.00000000e+00
sigma+ 239 4 1 +3.0 -1.5 1 258 4 1 +3.0 -0.5 3 2.22171266e-07 0.00000000e+00
sigma+ 50 3 1 +3.0 +2.5 1 234 4 1 +3.0 +3.5 1 2.21835672e-07 0.00000000e+00
sigma+ 174 3 -1 +3.0 +2.5 1 338 4 -1 +3.0 +3.5 1 2.21835668e-07 0.00000000e+00
sigma+ 108 2 -1 +1.0 +0.5 2 101 2 -1 +1.0 +1.5 1 2.19579882e-07 2.81618624e-24
sigma+ 40 2 1 +1.0 +0.5 2 33 2 1 +1.0 +1.5 1 1.42993365e-24 -2.19579879e-07
sigma+ 441 4 -1 +0.0 +0.5 4 423 4 -1 +0.0 +1.5 2 -2.18929082e-07 0.00000000e+00
sigma+ 265 4 1 +3.0 +0.5 4 247 4 1 +3.0 +1.5 2 -2.18418371e-07 0.00000000e+00
sigma+ 369 4 -1 +3.0 +0.5 4 351 4 -1 +3.0 +1.5 2 2.18418347e-07 0.00000000e+00
sigma+ 396 4 -1 +1.0 -1.5 1 107 2 -1 +1.0 -0.5 2 2.17971036e-07 1.43662559e-23
sigma+ 324 4 1 +1.0 -1.5 1 39 2 1 +1.0 -0.5 2 5.73904742e-24 2.17971031e-07
sigma+ 168 3 1 +0.0 -1.5 4 158 3 1 +0.0 -0.5 2 -2.16936495e-07 0.00000000e+00
sigma+ 386 4 -1 +2.0 -0.5 2 385 4 -1 +2.0 +0.5 2 9.16893325e-25 -2.12077152e-07
sigma+ 314 4 1 +2.0 -0.5 2 313 4 1 +2.0 +0.5 2 -9.16893324e-25 2.12077151e-07
sigma+ 443 4 -1 +0.0 +2.5 4 421 4 -1 +0.0 +3.5 2 -2.11390149e-07 0.00000000e+00
sigma+ 267 4 1 +3.0 +2.5 4 245 4 1 +3.0 +3.5 2 -2.09948688e-07 0.00000000e+00
sigma+ 371 4 -1 +3.0 +2.5 4 349 4 -1 +3.0 +3.5 2 -2.09948654e-07 0.00000000e+00
sigma+ 418 4 -1 +0.0 -4.5 1 437 4 -1 +0.0 -3.5 3 2.04581625e-07 0.00000000e+00
sigma+ 151 3 1 +0.0 -2.5 1 15 1 1 +0.0 -1.5 2 -2.03039462e-07 0.00000000e+00
sigma+ 242 4 1 +3.0 -4.5 1 261 4 1 +3.0 -3.5 3 -2.02858933e-07 0.00000000e+00
sigma+ 346 4 -1 +3.0 -4.5 1 365 4 -1 +3.0 -3.5 3 2.02858891e-07 0.00000000e+00
sigma+ 136 3 1 +1.0 -2.5 1 143 3 1 +1.0 -1.5 2 6.48995243e-24 -2.01953911e-07
sigma+ 274 3 -1 +1.0 -2.5 1 281 3 -1 +1.0 -1.5 2 -2.01952879e-07 -4.57966898e-25
sigma+ 431 4 -1 +0.0 +2.5 3 410 4 -1 +0.0 +3.5 1 2.00628143e-07 0.00000000e+00
sigma+ 14 1 1 +0.0 -0.5 2 148 3 1 +0.0 +0.5 1 -2.00332245e-07 0.00000000e+00
sigma+ 432 4 -1 +0.0 +1.5 3 411 4 -1 +0.0 +2.5 1 -1.98877416e-07 0.00000000e+00
sigma+ 359 4 -1 +3.0 +2.5 3 338 4 -1 +3.0 +3.5 1 -1.98603910e-07 0.00000000e+00
sigma+ 255 4 1 +3.0 +2.5 3 234 4 1 +3.0 +3.5 1 -1.98603865e-07 0.00000000e+00
sigma+ 332 4 1 +1.0 -0.5 2 331 4 1 +1.0 +0.5 2 1.98427842e-07 1.87773301e-24
sigma+ 404 4 -1 +1.0 -0.5 2 403 4 -1 +1.0 +0.5 2 -1.98427833e-07 7.69524537e-19
sigma+ 397 4 -1 +1.0 -2.5 1 273 3 -1 +1.0 -1.5 1 1.97931840e-07 1.21153563e-20
sigma+ 325 4 1 +1.0 -2.5 1 135 3 1 +1.0 -1.5 1 1.97931829e-07 3.03214580e-24
sigma+ 147 3 1 +0.0 +1.5 1 162 3 1 +0.0 +2.5 3 -1.97220068e-07 0.00000000e+00
sigma+ 256 4 1 +3.0 +1.5 3 235 4 1 +3.0 +2.5 1 1.97031121e-07 0.00000000e+00
sigma+ 360 4 -1 +3.0 +1.5 3 339 4 -1 +3.0 +2.5 1 -1.97031108e-07 0.00000000e+00
sigma+ 35 2 1 +1.0 -0.5 1 34 2 1 +1.0 +0.5 1 2.18750533e-24 -1.95801379e-07
sigma+ 39 2 1 +1.0 -0.5 2 40 2 1 +1.0 +0.5 2 2.92439160e-25 1.95801379e-07
sigma+ 107 2 -1 +1.0 -0.5 2 108 2 -1 +1.0 +0.5 2 -1.95801372e-07 1.47793119e-24
sigma+ 103 2 -1 +1.0 -0.5 1 102 2 -1 +1.0 +0.5 1 1.95801372e-07 2.19911872e-24
sigma+ 107 2 -1 +1.0 -0.5 2 43 1 -1 +1.0 +0.5 1 -1.93513714e-07 -9.90724303e-24
sigma+ 39 2 1 +1.0 -0.5 2 1 1 1 +1.0 +0.5 1 2.07243899e-24 -1.93513682e-07
sigma+ 122 2 -1 +0.0 -1.5 2 30 0 -1 +0.0 -0.5 1 -1.91352498e-07 0.00000000e+00
sigma+ 414 4 -1 +0.0 -0.5 1 433 4 -1 +0.0 +0.5 3 -1.89675455e-07 0.00000000e+00
sigma+ 108 2 -1 +1.0 +0.5 2 393 4 -1 +1.0 +1.5 1 -4.23260768e-24 1.89493984e-07
sigma+ 40 2 1 +1.0 +0.5 2 321 4 1 +1.0 +1.5 1 -1.89493966e-07 -8.06919515e-24
sigma+ 128 2 -1 +0.0 -0.5 4 113 2 -1 +0.0 +0.5 1 -1.88984321e-07 0.00000000e+00
sigma+ 112 2 -1 +0.0 +1.5 1 422 4 -1 +0.0 +2.5 2 1.88095678e-07 0.00000000e+00
sigma+ 342 4 -1 +3.0 -0.5 1 361 4 -1 +3.0 +0.5 3 1.87485229e-07 0.00000000e+00
sigma+ 238 4 1 +3.0 -0.5 1 257 4 1 +3.0 +0.5 3 -1.87485196e-07 0.00000000e+00
sigma+ 212 4 1 +4.0 +1.5 2 202 4 1 +4.0 +2.5 1 1.85273107e-07 -4.36576394e-24
sigma+ 294 4 -1 +4.0 +1.5 2 284 4 -1 +4.0 +2.5 1 -1.90787297e-24 1.85273086e-07
sigma+ 415 4 -1 +0.0 -1.5 1 121 2 -1 +0.0 -0.5 2 -1.84757195e-07 0.00000000e+00
sigma+ 393 4 -1 +1.0 +1.5 1 276 3 -1 +1.0 +2.5 2 -1.84416450e-07 1.63618372e-24
sigma+ 321 4 1 +1.0 +1.5 1 138 3 1 +1.0 +2.5 2 4.96903028e-25 1.84416425e-07
sigma+ 416 4 -1 +0.0 -2.5 1 122 2 -1 +0.0 -1.5 2 1.83070417e-07 0.00000000e+00
sigma+ 197 3 -1 +3.0 -0.5 4 352 4 -1 +3.0 +0.5 2 1.82840116e-07 0.00000000e+00
sigma+ 73 3 1 +3.0 -0.5 4 248 4 1 +3.0 +0.5 2 1.82840036e-07 0.00000000e+00
sigma+ 127 2 -1 +0.0 -1.5 3 425 4 -1 +0.0 -0.5 2 -1.79818322e-07 0.00000000e+00
sigma+ 433 4 -1 +0.0 +0.5 3 412 4 -1 +0.0 +1.5 1 -1.79224150e-07 0.00000000e+00
sigma+ 39 2 1 +1.0 -0.5 2 322 4 1 +1.0 +0.5 1 -2.38671442e-24 1.79198587e-07
sigma+ 107 2 -1 +1.0 -0.5 2 394 4 -1 +1.0 +0.5 1 6.10747304e-24 1.79198519e-07
sigma+ 120 2 -1 +0.0 +0.5 2 412 4 -1 +0.0 +1.5 1 -1.79157788e-07 0.00000000e+00
sigma+ 119 2 -1 +0.0 +1.5 2 411 4 -1 +0.0 +2.5 1 -1.78137194e-07 0.00000000e+00
sigma+ 361 4 -1 +3.0 +0.5 3 340 4 -1 +3.0 +1.5 1 1.77731798e-07 0.00000000e+00
sigma+ 257 4 1 +3.0 +0.5 3 236 4 1 +3.0 +1.5 1 -1.77731796e-07 0.00000000e+00
sigma+ 416 4 -1 +0.0 -2.5 1 426 4 -1 +0.0 -1.5 2 -1.76910383e-07 0.00000000e+00
sigma+ 198 3 -1 +3.0 +0.5 4 351 4 -1 +3.0 +1.5 2 1.75920546e-07 0.00000000e+00
sigma+ 74 3 1 +3.0 +0.5 4 247 4 1 +3.0 +1.5 2 1.75920509e-07 0.00000000e+00
sigma+ 264 4 1 +3.0 -0.5 4 248 4 1 +3.0 +0.5 2 1.74950275e-07 0.00000000e+00
sigma+ 368 4 -1 +3.0 -0.5 4 352 4 -1 +3.0 +0.5 2 -1.74950246e-07 0.00000000e+00
sigma+ 440 4 -1 +0.0 -0.5 4 424 4 -1 +0.0 +0.5 2 -1.74671182e-07 0.00000000e+00
sigma+ 440 4 -1 +0.0 -0.5 4 120 2 -1 +0.0 +0.5 2 -1.71388786e-07 0.00000000e+00
sigma+ 430 4 -1 +0.0 +3.5 3 409 4 -1 +0.0 +4.5 1 1.70457855e-07 0.00000000e+00
sigma+ 439 4 -1 +0.0 -1.5 4 114 2 -1 +0.0 -0.5 1 -1.69077682e-07 0.00000000e+00
sigma+ 254 4 1 +3.0 +3.5 3 233 4 1 +3.0 +4.5 1 1.68621760e-07 0.00000000e+00
sigma+ 358 4 -1 +3.0 +3.5 3 337 4 -1 +3.0 +4.5 1 1.68621735e-07 0.00000000e+00
sigma+ 195 3 -1 +3.0 -2.5 3 178 3 -1 +3.0 -1.5 1 -1.68548650e-07 0.00000000e+00
sigma+ 71 3 1 +3.0 -2.5 3 54 3 1 +3.0 -1.5 1 -1.68548628e-07 0.00000000e+00
sigma+ 277 3 -1 +1.0 +1.5 2 269 3 -1 +1.0 +2.5 1 1.67791042e-07 8.25326902e-20
sigma+ 139 3 1 +1.0 +1.5 2 131 3 1 +1.0 +2.5 1 -1.67791024e-07 -4.14545587e-24
sigma+ 355 4 -1 +3.0 -2.5 2 363 4 -1 +3.0 -1.5 3 -1.65806686e-07 0.00000000e+00
sigma+ 251 4 1 +3.0 -2.5 2 259 4 1 +3.0 -1.5 3 1.65806653e-07 0.00000000e+00
sigma+ 442 4 -1 +0.0 +1.5 4 431 4 -1 +0.0 +2.5 3 -1.63766023e-07 0.00000000e+00
sigma+ 401 4 -1 +1.0 +2.5 2 391 4 -1 +1.0 +3.5 1 -1.61144167e-07 -1.82197279e-24
sigma+ 329 4 1 +1.0 +2.5 2 319 4 1 +1.0 +3.5 1 -1.73342864e-20 1.61144150e-07
sigma+ 307 4 1 +2.0 -2.5 1 24 2 1 +2.0 -1.5 2 6.58538084e-25 -1.60324227e-07
sigma+ 379 4 -1 +2.0 -2.5 1 82 2 -1 +2.0 -1.5 2 8.93479627e-24 1.60324207e-07
sigma+ 188 3 -1 +3.0 -2.5 2 367 4 -1 +3.0 -1.5 4 -1.59931468e-07 0.00000000e+00
sigma+ 64 3 1 +3.0 -2.5 2 263 4 1 +3.0 -1.5 4 1.59931399e-07 0.00000000e+00
sigma+ 424 4 -1 +0.0 +0.5 2 124 2 -1 +0.0 +1.5 3 -1.59890963e-07 0.00000000e+00
sigma+ 424 4 -1 +0.0 +0.5 2 442 4 -1 +0.0 +1.5 4 1.59010314e-07 0.00000000e+00
sigma+ 248 4 1 +3.0 +0.5 2 266 4 1 +3.0 +1.5 4 -1.57549585e-07 0.00000000e+00
sigma+ 352 4 -1 +3.0 +0.5 2 370 4 -1 +3.0 +1.5 4 -1.57549580e-07 0.00000000e+00
sigma+ 140 3 1 +1.0 -2.5 2 324 4 1 +1.0 -1.5 1 1.19271493e-24 1.57331513e-07
sigma+ 278 3 -1 +1.0 -2.5 2 396 4 -1 +1.0 -1.5 1 2.70625816e-24 -1.57331510e-07
sigma+ 414 4 -1 +0.0 -0.5 1 120 2 -1 +0.0 +0.5 2 -1.56252117e-07 0.00000000e+00
sigma+ 381 4 -1 +2.0 -4.5 1 389 4 -1 +2.0 -3.5 2 -1.76112466e-24 -1.56224400e-07
sigma+ 309 4 1 +2.0 -4.5 1 317 4 1 +2.0 -3.5 2 1.56224395e-07 -9.70163742e-25
sigma+ 438 4 -1 +0.0 -2.5 4 115 2 -1 +0.0 -1.5 1 1.53918544e-07 0.00000000e+00
sigma+ 323 4 1 +1.0 -0.5 1 40 2 1 +1.0 +0.5 2 1.53233100e-07 5.54432140e-25
sigma+ 395 4 -1 +1.0 -0.5 1 108 2 -1 +1.0 +0.5 2 -5.97958364e-25 -1.53233071e-07
sigma+ 306 4 1 +2.0 -1.5 1 25 2 1 +2.0 -0.5 2 1.35258993e-24 1.52817557e-07
sigma+ 378 4 -1 +2.0 -1.5 1 83 2 -1 +2.0 -0.5 2 -4.32293472e-24 -1.52817510e-07
sigma+ 121 2 -1 +0.0 -0.5 2 413 4 -1 +0.0 +0.5 1 1.51128055e-07 0.00000000e+00
sigma+ 121 2 -1 +0.0 -0.5 2 441 4 -1 +0.0 +0.5 4 1.51080563e-07 0.00000000e+00
sigma+ 249 4 1 +3.0 -0.5 2 74 3 1 +3.0 +0.5 4 1.50455246e-07 0.00000000e+00
sigma+ 353 4 -1 +3.0 -0.5 2 198 3 -1 +3.0 +0.5 4 1.50455188e-07 0.00000000e+00
sigma+ 434 4 -1 +0.0 -0.5 3 413 4 -1 +0.0 +0.5 1 -1.48813025e-07 0.00000000e+00
sigma+ 258 4 1 +3.0 -0.5 3 237 4 1 +3.0 +0.5 1 -1.47743564e-07 0.00000000e+00
sigma+ 362 4 -1 +3.0 -0.5 3 341 4 -1 +3.0 +0.5 1 -1.47743555e-07 0.00000000e+00
sigma+ 109 2 -1 +1.0 +1.5 2 392 4 -1 +1.0 +2.5 1 -1.46820179e-07 3.62553121e-24
sigma+ 41 2 1 +1.0 +1.5 2 320 4 1 +1.0 +2.5 1 -2.56335425e-24 -1.46820137e-07
sigma+ 413 4 -1 +0.0 +0.5 1 432 4 -1 +0.0 +1.5 3 1.46389742e-07 0.00000000e+00
sigma+ 10 1 1 +0.0 -1.5 1 169 3 1 +0.0 -0.5 4 1.45693364e-07 0.00000000e+00
sigma+ 237 4 1 +3.0 +0.5 1 256 4 1 +3.0 +1.5 3 -1.44621216e-07 0.00000000e+00
sigma+ 341 4 -1 +3.0 +0.5 1 360 4 -1 +3.0 +1.5 3 1.44621203e-07 0.00000000e+00
sigma+ 148 3 1 +0.0 +0.5 1 12 1 1 +0.0 +1.5 2 -1.44400326e-07 0.00000000e+00
sigma+ 55 3 1 +3.0 -2.5 1 263 4 1 +3.0 -1.5 4 1.43855823e-07 0.00000000e+00
sigma+ 179 3 -1 +3.0 -2.5 1 367 4 -1 +3.0 -1.5 4 1.43855796e-07 0.00000000e+00
sigma+ 72 3 1 +3.0 -1.5 4 249 4 1 +3.0 -0.5 2 -1.43262056e-07 0.00000000e+00
sigma+ 196 3 -1 +3.0 -1.5 4 353 4 -1 +3.0 -0.5 2 -1.43262040e-07 0.00000000e+00
sigma+ 266 4 1 +3.0 +1.5 4 59 3 1 +3.0 +2.5 2 1.41603039e-07 0.00000000e+00
sigma+ 370 4 -1 +3.0 +1.5 4 183 3 -1 +3.0 +2.5 2 -1.41603008e-07 0.00000000e+00
sigma+ 134 3 1 +1.0 -0.5 1 133 3 1 +1.0 +0.5 1 -1.41562797e-07 1.10493085e-20
sigma+ 272 3 -1 +1.0 -0.5 1 271 3 -1 +1.0 +0.5 1 -1.08868954e-24 1.41562792e-07
sigma+ 142 3 1 +1.0 -0.5 2 141 3 1 +1.0 +0.5 2 1.41562468e-07 7.15397873e-15
sigma+ 280 3 -1 +1.0 -0.5 2 279 3 -1 +1.0 +0.5 2 1.08868147e-24 -1.41561743e-07
sigma+ 129 2 -1 +0.0 +0.5 4 112 2 -1 +0.0 +1.5 1 1.40967347e-07 0.00000000e+00
sigma+ 417 4 -1 +0.0 -3.5 1 123 2 -1 +0.0 -2.5 2 1.39196779e-07 0.00000000e+00
sigma+ 79 2 -1 +2.0 -0.5 1 228 3 -1 +2.0 +0.5 2 1.37454906e-07 9.23023499e-24
sigma+ 21 2 1 +2.0 -0.5 1 96 3 1 +2.0 +0.5 2 -9.33625209e-24 1.37454902e-07
sigma+ 118 2 -1 +0.0 +2.5 2 410 4 -1 +0.0 +3.5 1 -1.36336188e-07 0.00000000e+00
sigma+ 167 3 1 +0.0 -2.5 3 150 3 1 +0.0 -1.5 1 -1.34463840e-07 0.00000000e+00
