Type I_index Init_J Init_S Init_K Init_mF Init_XI F_index Final_J Final_S Final_K Final_mF Final_XI Rabi_Rate_Real Rabi_Rate_Imag
sigma+ 23 2 1 +2.0 -2.5 1 22 2 1 +2.0 -1.5 1 2.81330507e-23 3.48487555e-06
sigma+ 114 2 -1 +0.0 -0.5 1 29 0 -1 +0.0 +0.5 1 3.46357209e-06 0.00000000e+00
sigma+ 11 1 1 +0.0 -2.5 1 15 1 1 +0.0 -1.5 2 -3.45201902e-06 0.00000000e+00
sigma+ 65 3 1 +3.0 -3.5 2 71 3 1 +3.0 -2.5 3 3.44357543e-06 0.00000000e+00
sigma+ 189 3 -1 +3.0 -3.5 2 195 3 -1 +3.0 -2.5 3 3.44357539e-06 0.00000000e+00
sigma+ 159 3 1 +0.0 -1.5 2 14 1 1 +0.0 -0.5 2 3.43398624e-06 0.00000000e+00
sigma+ 59 3 1 +3.0 +2.5 2 58 3 1 +3.0 +3.5 2 -3.42257905e-06 0.00000000e+00
sigma+ 183 3 -1 +3.0 +2.5 2 182 3 -1 +3.0 +3.5 2 -3.42257905e-06 0.00000000e+00
sigma+ 220 3 -1 +2.0 +1.5 1 76 2 -1 +2.0 +2.5 1 -1.38150055e-23 3.42256341e-06
sigma+ 88 3 1 +2.0 +1.5 1 18 2 1 +2.0 +2.5 1 3.42256338e-06 -2.46531537e-24
sigma+ 127 2 -1 +0.0 -1.5 3 30 0 -1 +0.0 -0.5 1 3.41409231e-06 0.00000000e+00
sigma+ 303 4 1 +2.0 +1.5 1 87 3 1 +2.0 +2.5 1 4.18700759e-25 3.37441654e-06
sigma+ 375 4 -1 +2.0 +1.5 1 219 3 -1 +2.0 +2.5 1 -1.71872673e-20 3.37441653e-06
sigma+ 339 4 -1 +3.0 +2.5 1 173 3 -1 +3.0 +3.5 1 3.36390450e-06 0.00000000e+00
sigma+ 235 4 1 +3.0 +2.5 1 49 3 1 +3.0 +3.5 1 -3.36390447e-06 0.00000000e+00
sigma+ 30 0 -1 +0.0 -0.5 1 120 2 -1 +0.0 +0.5 2 3.36093874e-06 0.00000000e+00
